name,serving_size,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Cornstarch,100,0.1,,0,9.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.47,3.0,0.053,13.0,3.0,2.8,0.06,0.26,0.019,0.012,0.02,0.006,0.053,0.009,0.008,0.0,0.01,0.036,0.006,0.006,0.013,0.024,0.012,0.009,0.001,0.01,0.014,91.27,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.009,0.016,0.025,0.0,0.0,0.09,0.0,0.0,8.32
"Nuts, pecans",100,72.0,6.2,0,0.0,40.5,22.0,0.0,1.167,0.863,0.13,0.66,56.0,3.0,0.0,29.0,9.0,17.0,0.0,0.21,1.1,0.0,1.4,1.4,3.5,70.0,1.2,2.53,121.0,4.5,277.0,410.0,3.8,4.53,9.17,0.397,1.177,0.929,0.152,1.829,0.453,0.262,0.0,0.336,0.598,0.287,0.183,0.426,0.363,0.474,0.306,0.093,0.215,0.411,13.86,9.6,3.97,0.04,0.0,0.04,0.0,0.0,3.9,71.97,6.18,40.801,21.614,0.0,0.0,1.49,0.0,0.0,3.52
"Eggplant, raw",100,0.2,,0,2.0,6.9,22.0,0.0,0.649,0.281,0.037,0.039,23.0,1.0,0.0,14.0,0.0,36.0,0.0,0.084,2.2,0.0,0.3,0.3,3.5,9.0,0.081,0.23,14.0,0.232,24.0,229.0,0.3,0.16,0.98,0.051,0.057,0.164,0.006,0.186,0.041,0.023,0.0,0.045,0.064,0.047,0.011,0.043,0.043,0.042,0.037,0.009,0.027,0.053,5.88,3.0,3.53,1.54,0.0,1.58,0.0,0.0,0.26,0.18,0.034,0.016,0.076,0.0,0.0,0.66,0.0,0.0,92.3
"Teff, uncooked",100,2.4,0.4,0,12.0,13.1,0.0,0.0,3.363,0.942,0.27,0.39,9.0,0.0,0.0,5.0,0.0,66.0,0.0,0.482,0.0,0.0,0.08,0.08,1.9,180.0,0.81,7.63,184.0,9.24,429.0,427.0,4.4,3.63,13.3,0.747,0.517,0.82,0.236,3.349,0.477,0.301,0.0,0.501,1.068,0.376,0.428,0.698,0.664,0.622,0.51,0.139,0.458,0.686,73.13,8.0,1.84,0.47,0.0,0.73,0.0,0.01,0.62,2.38,0.449,0.589,1.071,0.0,0.0,2.37,0.0,0.0,8.82
"Sherbet, orange",100,2.0,1.2,1,46.0,7.7,4.0,0.0,0.063,0.224,0.097,0.027,46.0,12.0,0.0,1.0,5.0,7.0,0.13,0.023,2.3,0.0,0.01,0.01,0.0,54.0,0.028,0.14,8.0,0.011,40.0,96.0,1.5,0.48,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,1.3,24.32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.16,0.53,0.08,1.0,0.0,0.4,0.0,0.0,66.1
"Cauliflower, raw",100,0.3,0.1,0,30.0,44.3,57.0,0.0,0.507,0.667,0.06,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.184,48.2,0.0,0.08,0.08,15.5,22.0,0.039,0.42,15.0,0.155,44.0,299.0,0.6,0.27,1.92,0.116,0.086,0.177,0.02,0.257,0.071,0.056,0.0,0.071,0.106,0.217,0.02,0.065,0.071,0.086,0.076,0.02,0.051,0.125,4.97,2.0,1.91,0.97,0.0,0.94,0.0,0.0,0.0,0.28,0.13,0.034,0.031,0.0,0.0,0.76,0.0,0.0,92.07
"Taro leaves, raw",100,0.7,0.2,0,3.0,12.8,126.0,0.0,1.513,0.084,0.456,0.209,4825.0,241.0,0.0,2895.0,0.0,1932.0,0.0,0.146,52.0,0.0,2.02,2.02,108.6,107.0,0.27,2.25,45.0,0.714,60.0,648.0,0.9,0.41,4.98,0.0,0.22,0.0,0.064,0.0,0.0,0.114,0.0,0.26,0.392,0.246,0.079,0.195,0.0,0.0,0.167,0.048,0.178,0.256,6.7,3.7,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.151,0.06,0.307,0.0,0.0,1.92,0.0,0.0,85.66
"Lamb, raw, ground",100,23.0,10.0,73,59.0,69.3,18.0,0.0,5.96,0.65,0.21,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.13,0.0,2.0,0.2,0.2,3.6,16.0,0.101,1.55,21.0,0.019,157.0,222.0,18.8,3.41,16.56,0.996,0.984,1.457,0.198,2.402,0.809,0.524,0.0,0.799,1.288,1.462,0.425,0.674,0.694,0.615,0.709,0.193,0.556,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.41,10.19,9.6,1.85,73.0,0.0,0.87,0.0,0.0,59.47
"Cheese, camembert",100,24.0,15.0,72,842.0,15.4,62.0,0.0,0.63,1.364,0.488,0.028,820.0,241.0,0.0,12.0,0.0,0.0,1.3,0.227,0.0,18.0,0.21,0.21,2.0,388.0,0.021,0.33,20.0,0.038,347.0,187.0,14.5,2.38,19.8,0.819,0.701,1.288,0.109,4.187,0.379,0.683,0.0,0.968,1.84,1.766,0.565,1.105,2.346,1.114,0.717,0.307,1.145,1.279,0.46,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,24.26,15.259,7.023,0.724,72.0,0.0,3.68,0.0,0.0,51.8
Vegetarian fillets,100,18.0,2.8,0,490.0,82.0,102.0,0.0,12.0,0.0,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1.5,0.0,0.0,3.45,3.45,0.0,95.0,0.925,2.0,23.0,0.0,450.0,600.0,1.0,1.4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.849,4.376,9.332,0.0,0.0,5.0,0.0,0.0,45.0
"PACE, Picante Sauce",100,0.0,,0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,89.9
"Goji berries, dried",100,0.4,,0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4,0.0,0.0,0.0,0.0,190.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.26,0.698,0.722,1.711,0.144,1.431,0.304,0.157,0.0,0.261,0.456,0.233,0.087,0.271,1.0,0.498,0.358,0.0,0.222,0.316,77.06,13.0,45.61,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,7.5
"Mango nectar, canned",100,0.1,,0,5.0,1.5,7.0,0.0,0.08,0.07,0.003,0.003,692.0,35.0,0.0,402.0,26.0,0.0,0.0,0.015,15.2,0.0,0.21,0.21,0.8,17.0,0.015,0.36,3.0,0.028,2.0,24.0,0.4,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,0.3,12.45,5.56,0.0,5.31,0.0,0.56,1.02,0.06,0.014,0.022,0.011,0.0,0.0,0.08,0.0,0.0,86.63
"Crackers, rusk toast",100,7.2,1.4,78,253.0,0.0,87.0,23.0,4.625,0.605,0.399,0.404,41.0,12.0,0.0,0.0,0.0,0.0,0.18,0.047,0.0,0.0,0.0,0.0,0.0,27.0,0.245,2.72,36.0,0.439,153.0,245.0,20.1,1.1,13.5,0.606,0.649,0.944,0.272,3.192,0.498,0.309,0.0,0.61,1.01,0.684,0.29,0.668,1.052,0.768,0.512,0.171,0.471,0.684,72.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.376,2.755,2.31,78.0,0.0,1.2,0.0,0.0,5.5
"Chicken, boiled, feet",100,15.0,3.9,84,67.0,13.3,86.0,0.0,0.4,0.0,0.2,0.06,100.0,30.0,0.0,0.0,0.0,0.0,0.47,0.01,0.0,8.0,0.27,0.27,0.2,88.0,0.102,0.91,5.0,0.0,83.0,31.0,3.6,0.69,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,3.92,5.5,2.98,84.0,0.0,0.0,0.0,0.0,65.8
"Quail, raw, meat only",100,4.5,1.3,70,51.0,0.0,7.0,0.0,8.2,0.787,0.285,0.283,57.0,17.0,0.0,0.0,0.0,0.0,0.47,0.53,7.2,0.0,0.0,0.0,0.0,13.0,0.594,4.51,25.0,0.019,307.0,237.0,17.4,2.7,21.76,1.341,1.379,1.814,0.38,2.82,1.442,0.825,0.0,1.187,1.866,1.905,0.689,0.944,0.797,1.062,1.09,0.341,1.01,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,1.32,1.28,1.17,70.0,0.0,1.32,0.0,0.0,70.03
"Pie, lemon, fried pies",100,16.0,2.5,0,374.0,0.0,18.0,15.0,1.425,0.11,0.106,0.141,32.0,2.0,0.0,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0,0.0,22.0,0.047,1.22,10.0,0.224,43.0,65.0,2.4,0.23,3.0,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.0,0.12,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.09,0.138,42.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,2.457,7.449,5.376,0.0,0.0,1.1,0.0,0.0,37.6
"Peppers, raw, jalapeno",100,0.4,0.1,0,3.0,7.5,27.0,0.0,1.28,0.315,0.07,0.04,1078.0,54.0,67.0,561.0,105.0,861.0,0.0,0.419,118.6,0.0,3.58,3.58,18.5,12.0,0.046,0.25,15.0,0.097,26.0,248.0,0.4,0.14,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.8,4.12,2.63,0.0,1.48,0.0,0.0,0.0,0.37,0.092,0.029,0.112,0.0,0.0,0.53,0.0,0.0,91.69
"Winged bean tuber, raw",100,0.9,0.2,0,35.0,0.0,19.0,0.0,1.64,0.116,0.149,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,30.0,1.386,2.0,24.0,0.532,45.0,586.0,0.7,1.39,11.6,0.397,0.412,1.735,0.197,0.8,0.39,0.241,0.0,0.425,0.64,0.592,0.143,0.451,0.679,0.464,0.451,0.252,0.353,0.599,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.222,0.234,0.174,0.0,0.0,2.0,0.0,0.0,57.4
"Salami, turkey, cooked",100,9.2,2.8,76,1107.0,53.1,10.0,0.0,3.979,1.074,0.303,0.426,6.0,2.0,0.0,0.0,0.0,0.0,0.99,0.427,0.0,24.0,0.24,0.24,1.3,40.0,0.19,1.25,22.0,0.02,266.0,216.0,26.4,2.32,19.2,0.947,1.067,1.486,0.159,2.497,0.759,0.477,0.0,0.796,1.219,1.442,0.443,0.607,0.637,0.681,0.681,0.174,0.605,0.813,1.55,0.1,1.12,0.0,0.0,0.0,0.0,0.0,0.0,9.21,2.783,3.172,2.466,76.0,0.0,1.68,0.0,0.0,68.8
"Grapes, raw, muscadine",100,0.5,,0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,67.0,3.0,1.0,39.0,1.0,64.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,37.0,0.119,0.26,14.0,1.973,24.0,203.0,0.0,0.11,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93,3.9,0.0,3.92,0.0,3.67,0.0,0.0,0.57,0.47,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,84.29
"Nuts, raw, ginkgo nuts",100,1.7,0.3,0,7.0,0.0,54.0,0.0,6.0,0.16,0.09,0.22,558.0,28.0,0.0,0.0,0.0,0.0,0.0,0.328,15.0,0.0,0.0,0.0,0.0,2.0,0.274,1.0,27.0,0.113,124.0,510.0,0.0,0.34,4.32,0.247,0.42,0.543,0.023,0.836,0.232,0.102,0.0,0.209,0.316,0.206,0.055,0.171,0.347,0.29,0.268,0.071,0.061,0.283,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.319,0.619,0.618,0.0,0.0,1.2,0.0,0.0,55.2
"Spices, ground, savory",100,5.9,3.3,0,24.0,0.0,0.0,0.0,4.08,0.0,0.0,0.366,5130.0,257.0,0.0,0.0,0.0,0.0,0.0,1.81,50.0,0.0,0.0,0.0,0.0,2132.0,0.847,37.88,377.0,6.1,140.0,1051.0,4.6,4.3,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.73,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,3.26,0.0,0.0,0.0,0.0,9.63,0.0,0.0,9.0
"Candies, sesame crunch",100,33.0,4.7,0,167.0,16.7,51.0,0.0,3.703,0.033,0.159,0.444,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.491,0.0,0.0,0.16,0.16,0.0,639.0,0.95,4.27,251.0,1.609,412.0,307.0,4.0,3.76,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,7.7,31.17,0.0,0.0,0.0,0.0,0.0,0.0,33.3,4.662,12.571,14.591,0.0,0.0,2.6,0.0,0.0,2.2
"Cheese, low fat, cream",100,15.0,9.1,54,359.0,12.1,19.0,0.0,0.125,0.845,0.185,0.04,552.0,161.0,0.0,11.0,0.0,0.0,0.92,0.045,0.0,11.0,0.27,0.27,1.1,148.0,0.032,0.17,8.0,0.011,152.0,247.0,4.0,0.57,7.85,0.243,0.311,0.68,0.055,1.725,0.187,0.232,0.0,0.429,0.869,0.75,0.252,0.384,0.88,0.495,0.308,0.091,0.401,0.522,8.13,0.0,5.82,0.0,0.0,0.0,5.82,0.0,0.0,15.28,9.098,3.996,0.658,54.0,0.0,2.03,0.0,0.0,66.72
"PACE, Green Taco Sauce",100,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,90.7
"Syrup, Canadian, maple",100,0.0,,0,9.0,0.0,0.0,0.0,0.081,0.0,1.27,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.11,21.0,2.3,0.0,225.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.38,0.0,59.92,0.34,0.0,0.65,0.0,0.0,58.93,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,32.15
"Ostrich, raw, top loin",100,3.0,1.2,75,81.0,0.0,8.0,0.0,4.691,1.158,0.286,0.195,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.509,0.0,0.0,0.2,0.2,0.0,6.0,0.137,3.13,22.0,0.018,214.0,312.0,35.4,3.76,21.67,1.39,1.482,2.027,0.223,3.322,1.448,0.544,0.387,1.03,1.761,1.914,0.606,0.894,1.13,0.867,0.951,0.193,0.705,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,1.2,1.06,0.58,75.0,0.0,0.73,0.0,0.0,75.35
"Chewing gum, sugarless",100,0.4,0.1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.058,0.093,0.232,0.0,0.0,1.3,0.0,0.0,3.5
"Nuts, dried, pine nuts",100,68.0,4.9,0,2.0,55.8,34.0,0.0,4.387,0.313,0.227,0.364,29.0,1.0,0.0,17.0,0.0,9.0,0.0,0.094,0.8,0.0,9.33,9.33,53.9,16.0,1.324,5.53,251.0,8.802,575.0,597.0,0.7,6.45,13.69,0.684,2.413,1.303,0.289,2.926,0.691,0.341,0.0,0.542,0.991,0.54,0.259,0.524,0.673,0.835,0.37,0.107,0.509,0.687,13.08,3.7,3.59,0.07,0.0,0.07,0.0,0.0,3.45,68.37,4.899,18.764,34.071,0.0,0.0,2.59,0.0,0.0,2.28
"Pasta, unenriched, dry",100,1.5,0.3,0,6.0,0.0,18.0,0.0,1.7,0.431,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.0,0.0,0.11,0.11,0.1,21.0,0.289,1.3,53.0,0.917,189.0,223.0,63.2,1.41,13.04,0.438,0.474,0.624,0.255,4.596,0.441,0.298,0.0,0.511,0.988,0.298,0.147,0.668,1.569,0.617,0.462,0.185,0.243,0.588,74.67,3.2,2.67,0.11,0.0,0.12,0.0,1.96,0.48,1.51,0.277,0.171,0.564,0.0,0.0,0.88,0.0,0.0,9.9
"McDONALD'S, Side Salad",100,0.2,,0,12.0,0.0,57.0,0.0,0.208,0.0,0.038,0.045,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0,24.0,0.0,0.65,0.0,0.0,0.0,220.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.6,2.24,1.15,0.0,0.92,0.0,0.0,0.17,0.19,0.02,0.006,0.079,0.0,0.0,0.54,0.0,0.0,93.93
"Cookies, Marie biscuit",100,11.0,5.3,0,370.0,27.0,118.0,98.0,3.861,0.0,0.493,0.541,3.0,1.0,0.0,0.0,0.0,12.0,0.19,0.074,0.0,0.0,0.45,0.45,3.8,0.0,0.101,0.0,28.0,0.0,193.0,307.0,23.9,0.61,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.54,3.5,21.16,0.0,0.0,0.0,0.0,0.0,0.0,10.58,5.291,2.694,1.67,0.0,0.0,2.03,0.0,0.0,9.79
"Broccoli, raw, chinese",100,0.8,0.1,0,7.0,26.5,104.0,0.0,0.459,0.0,0.153,0.1,1720.0,86.0,0.0,1032.0,0.0,957.0,0.0,0.074,29.6,0.0,0.5,0.5,89.1,105.0,0.064,0.59,19.0,0.0,43.0,274.0,1.4,0.41,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,2.6,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.116,0.053,0.347,0.0,0.0,0.83,0.0,0.0,92.55
"McDONALD'S, Hash Brown",100,16.0,2.3,0,580.0,0.0,12.0,0.0,1.733,0.345,0.032,0.127,2.0,0.0,0.0,1.0,0.0,17.0,0.0,0.18,5.6,0.0,2.14,2.14,0.0,19.0,0.093,0.56,20.0,0.153,99.0,341.0,0.4,0.34,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.56,2.8,0.54,0.24,0.0,0.3,0.0,0.0,0.0,16.3,2.327,8.055,5.065,0.0,0.0,2.25,0.0,0.0,50.42
"Agave, raw (Southwest)",100,0.2,,0,14.0,0.0,7.0,0.0,0.162,0.041,0.039,0.029,37.0,2.0,0.0,22.0,0.0,0.0,0.0,0.055,4.0,0.0,0.23,0.23,5.3,417.0,0.138,1.8,55.0,0.094,7.0,127.0,0.4,0.15,0.52,0.024,0.106,0.041,0.008,0.052,0.019,0.008,0.0,0.014,0.025,0.028,0.009,0.019,0.013,0.021,0.014,0.008,0.009,0.022,16.23,6.6,2.58,0.98,0.0,1.19,0.0,0.0,0.41,0.15,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,81.83
"Emu, raw, outside drum",100,0.5,0.1,78,100.0,0.0,7.0,0.0,7.245,2.5,0.442,0.258,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.676,0.0,0.0,0.17,0.17,0.0,3.0,0.199,4.5,29.0,0.025,225.0,320.0,36.3,4.5,23.08,0.897,1.039,2.008,0.167,2.253,0.727,0.505,0.151,0.75,1.274,1.358,0.438,0.659,0.935,0.549,0.662,0.153,0.492,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.122,0.202,0.07,78.0,0.0,1.0,0.0,0.0,74.87
"Nuts, dried, beechnuts",100,50.0,5.7,0,38.0,0.0,113.0,0.0,0.877,0.925,0.371,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,15.5,0.0,0.0,0.0,0.0,1.0,0.67,2.46,0.0,1.341,0.0,1017.0,0.0,0.36,6.2,0.414,0.443,1.071,0.197,0.8,0.319,0.172,0.0,0.245,0.367,0.367,0.146,0.262,0.326,0.31,0.221,0.069,0.172,0.346,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.719,21.892,20.089,0.0,0.0,3.7,0.0,0.0,6.6
"Currants, dried, zante",100,0.3,,0,8.0,10.6,10.0,0.0,1.615,0.045,0.142,0.16,73.0,4.0,1.0,43.0,1.0,0.0,0.0,0.296,4.7,0.0,0.11,0.11,3.3,86.0,0.468,3.26,41.0,0.469,125.0,892.0,0.7,0.66,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.08,6.8,67.28,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.028,0.047,0.18,0.0,0.0,2.36,0.0,0.0,19.21
"Lentils, raw, sprouted",100,0.6,0.1,0,11.0,0.0,100.0,0.0,1.128,0.578,0.128,0.228,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19,16.5,0.0,0.0,0.0,0.0,25.0,0.352,3.21,37.0,0.506,173.0,322.0,0.6,1.51,8.96,0.356,0.611,1.433,0.334,1.258,0.319,0.257,0.0,0.326,0.628,0.712,0.105,0.442,0.356,0.495,0.328,0.0,0.252,0.399,22.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.057,0.104,0.219,0.0,0.0,1.0,0.0,0.0,67.34
"Gravy, mix, dry, onion",100,3.0,1.9,2,4186.0,0.0,31.0,17.0,3.7,0.1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,7.0,0.0,0.0,0.0,0.0,280.0,0.17,1.0,34.0,0.4,203.0,262.0,6.1,0.88,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.86,0.9,0.14,2.0,0.0,16.0,0.0,0.0,4.36
"Pie, fruit, fried pies",100,16.0,2.5,0,333.0,7.2,18.0,15.0,1.425,0.11,0.106,0.141,27.0,5.0,0.0,5.0,5.0,8.0,0.08,0.03,1.3,0.0,1.72,1.72,4.1,22.0,0.047,1.22,10.0,0.224,43.0,65.0,2.4,0.23,3.0,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.0,0.12,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.09,0.138,42.6,2.6,21.4,0.0,0.0,0.0,0.0,0.0,0.0,16.1,2.457,7.449,5.376,0.0,0.0,1.1,0.0,0.0,37.6
"Snacks, cakes, popcorn",100,3.1,0.5,0,288.0,22.4,18.0,0.0,6.006,0.434,0.178,0.075,72.0,4.0,21.0,33.0,0.0,537.0,0.0,0.181,0.0,0.0,0.29,0.29,1.1,9.0,0.569,1.87,159.0,0.985,277.0,327.0,9.9,3.99,9.7,0.671,0.581,0.767,0.156,1.89,0.431,0.28,0.0,0.372,1.053,0.312,0.21,0.488,0.706,0.48,0.363,0.091,0.387,0.523,80.1,2.9,0.72,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.48,0.92,1.35,0.0,0.0,2.0,0.0,0.0,5.0
"Snack, Mixed Berry Bar",100,11.0,3.8,0,447.0,39.8,28.0,0.0,0.858,1.104,0.285,0.283,97.0,27.0,0.0,6.0,0.0,104.0,0.51,0.116,0.6,2.0,0.29,0.29,1.6,105.0,0.244,1.89,91.0,1.963,343.0,446.0,19.8,2.64,13.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.84,7.9,26.32,0.0,0.0,0.0,0.0,0.0,0.0,10.53,3.846,2.897,2.058,0.0,0.0,1.97,0.0,0.0,15.52
"Fish, raw, sheepshead",100,2.4,0.6,50,71.0,0.0,15.0,0.0,1.5,0.75,0.04,0.01,100.0,30.0,0.0,0.0,0.0,0.0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,21.0,0.031,0.46,32.0,0.013,313.0,404.0,36.5,0.39,20.21,1.222,1.21,2.07,0.217,3.017,0.97,0.595,0.0,0.931,1.643,1.856,0.598,0.789,0.715,0.825,0.886,0.226,0.682,1.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.609,0.728,0.518,50.0,0.0,1.09,0.0,0.0,77.97
